,Dummy,Directive,Stoppable,Robin,FineSorter,Dependent,MDummy6_2,MDirective6_2,MStoppable6_2,MRobin6_2,MFineSorter6_2,MDependent6_2,MDummy3_4,MDirective3_4,MStoppable3_4,MRobin3_4,MFineSorter3_4,MDependent3_4,MDummy2_8,MDirective2_8,MStoppable2_8,MRobin2_8,MFineSorter2_8,MDependent2_8,Aggregator
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.300000_0.300000_1000_100_.txt,174.914,127.823,174.914,112.373,99.9797,259.393,100.799,127.823,100.799,156.276,99.9797,263.85,160.266,127.823,160.266,165.542,99.9797,263.85,99.9797,127.823,151.31,152.822,99.9797,263.85,127.86
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.300000_0.300000_1000_500_.txt,22.701,6.68584,58.391,14.3187,21.7681,31.4772,23.81,6.68584,39.9462,12.3019,21.7681,32.1997,150.2,6.68584,16.1771,25.2652,21.7681,21.7681,21.7681,6.68584,22.038,41.4079,21.7681,39.28,32.3494
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.300000_0.300000_200_100_.txt,110.074,253.599,110.074,197.826,155.732,176.674,182.291,253.599,182.291,284.562,155.732,151.887,46.8649,253.599,46.8649,50.1113,155.732,195.003,228.425,253.599,225.329,221.364,155.732,195.003,164.877
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.300000_0.300000_200_500_.txt,168.013,116.256,175.912,629.473,158.967,164.304,112.618,116.256,137.803,340.297,158.967,290.206,244.848,116.256,59.6042,302.674,158.967,351.581,477.309,116.256,65.9575,509.872,158.967,299.109,191.609
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.300000_0.450000_1000_100_.txt,117.049,80.7838,111.115,187.657,102.916,138.007,102.916,80.7838,102.916,174.36,102.916,138.007,183.972,80.7838,102.916,127.646,102.916,183.972,179.453,80.7838,58.0809,187.657,102.916,138.007,132.357
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.300000_0.450000_1000_500_.txt,28.9137,28.8759,28.9137,28.8759,28.8759,186.426,246.575,28.8759,168.648,168.648,28.8759,186.426,28.8759,28.8759,28.8759,28.8759,28.8759,186.426,28.8759,28.8759,28.8759,28.8759,28.8759,186.426,29.9378
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.300000_0.450000_200_100_.txt,7.54476,8.75314,7.54476,40.5059,6.12418,50.4144,7.68915,9.64099,21.0575,6.12418,6.12418,21.0575,34.2963,9.64099,8.6794,6.12418,6.12418,21.0575,50.7239,9.64099,50.7239,19.9267,6.12418,21.0575,35.8613
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.300000_0.450000_200_500_.txt,78.7289,111.096,58.8806,46.5119,65.0199,53.7861,133.218,111.096,108.059,128.698,65.0199,54.4611,30.7229,111.096,128.698,163.069,65.0199,54.4611,142.698,111.096,54.4611,60.0705,65.0199,54.4611,38.598
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.300000_0.690000_1000_100_.txt,29.2836,25.516,29.2836,25.516,31.1674,29.2836,31.1674,25.516,31.1674,25.516,31.1674,31.1674,25.516,25.516,31.1674,31.1674,31.1674,29.359,31.1674,25.516,31.1674,25.516,31.1674,31.1674,31.1674
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.300000_0.690000_1000_500_.txt,106.065,103.915,115.052,112.697,120.621,106.065,120.621,103.915,98.7871,120.621,120.621,139.826,121.65,103.915,121.65,98.7871,120.621,98.7871,120.621,103.915,120.621,120.621,120.621,139.826,120.621
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.300000_0.690000_200_100_.txt,0.0,0.0,1.12149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.695413,0.0,0.0,0.0,0.0,0.0,0.0
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.300000_0.690000_200_500_.txt,91.0948,0.0,81.1078,24.9559,96.654,106.345,109.753,0.0,109.753,185.65,96.654,185.65,64.0124,0.0,130.889,91.649,96.654,66.693,188.661,0.0,224.559,91.649,96.654,66.693,96.654
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.450000_0.300000_1000_100_.txt,684.808,422.404,725.068,796.971,401.721,770.33,744.745,422.404,401.721,486.842,401.721,770.33,612.704,422.404,353.464,632.755,401.721,770.33,401.721,422.404,401.721,428.82,401.721,770.33,387.224
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.450000_0.300000_1000_500_.txt,514.919,256.841,202.37,183.253,170.096,293.219,507.3,256.841,235.66,366.063,170.096,293.219,422.996,256.841,422.996,685.345,170.096,293.219,321.106,256.841,188.119,318.25,170.096,293.219,603.491
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.450000_0.300000_200_100_.txt,135.554,137.051,174.566,224.225,213.636,166.418,67.934,137.051,119.95,151.498,213.636,173.878,63.8604,137.051,175.838,221.934,213.636,173.878,105.279,137.051,245.137,163.158,213.636,173.878,234.691
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.450000_0.300000_200_500_.txt,231.347,199.906,376.627,280.741,348.367,340.476,349.7,199.906,230.478,321.215,348.367,321.147,200.471,199.906,227.528,306.709,348.367,404.899,245.851,199.906,248.794,160.006,348.367,404.899,232.713
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.450000_0.450000_1000_100_.txt,85.0264,85.0264,85.0264,85.0264,85.0264,85.0264,85.0264,85.0264,85.0264,85.0264,85.0264,85.0264,85.0264,85.0264,85.0264,85.0264,85.0264,85.0264,85.0264,85.0264,85.0264,85.0264,85.0264,85.0264,85.3835
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.450000_0.450000_1000_500_.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.450000_0.450000_200_100_.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.450000_0.450000_200_500_.txt,4.19667,0.0,8.27837,0.0,0.0,1.57423,0.0,0.0,0.0,25.4551,0.0,0.0,4.72268,0.0,0.0,31.5713,0.0,4.72268,31.5713,0.0,0.0,0.0,0.0,4.72268,0.0
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.450000_0.690000_1000_100_.txt,67.6973,59.9529,67.6973,97.7888,59.9529,59.9529,68.0982,59.9529,68.0982,68.0982,59.9529,59.9529,59.9529,59.9529,59.9529,68.0982,59.9529,59.9529,59.9529,59.9529,59.9529,68.0982,59.9529,59.9529,59.9529
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.450000_0.690000_1000_500_.txt,67.039,18.4053,63.8953,20.8335,80.1579,132.975,54.4779,18.4053,22.9318,18.4053,80.1579,55.6822,80.1579,18.4053,55.6822,80.1579,80.1579,55.6822,55.6822,18.4053,55.6822,18.4053,80.1579,55.6822,54.4779
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.450000_0.690000_200_100_.txt,4.78874,0.0,4.78874,0.0,30.3065,4.78874,30.3065,0.0,30.3065,0.0,30.3065,47.3553,30.3065,0.0,30.3065,30.3065,30.3065,47.3553,30.3065,0.0,30.3065,0.0,30.3065,47.3553,30.3065
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.450000_0.690000_200_500_.txt,77.0774,83.6364,92.8329,83.6364,83.6364,86.748,63.7512,83.6364,63.7512,93.367,83.6364,86.748,89.5993,83.6364,187.585,72.973,83.6364,86.748,60.8477,83.6364,60.8477,84.9201,83.6364,86.748,83.6364
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.690000_0.300000_1000_100_.txt,973.254,1113.31,973.254,878.29,1034.37,1078.25,755.817,1113.31,755.817,1018.98,1034.37,1078.25,765.079,1113.31,765.079,783.391,1034.37,1078.25,1040.67,1113.31,1040.67,1016.82,1034.37,1078.25,1092.24
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.690000_0.300000_1000_500_.txt,1022.66,1128.71,1064.45,882.424,1234.24,367.611,877.628,1128.71,854.479,530.519,1234.24,356.445,739.036,1128.71,1450.9,524.667,1234.24,465.997,706.041,1128.71,1049.3,1000.99,1234.24,465.997,662.992
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.690000_0.300000_200_100_.txt,196.397,355.953,196.397,377.547,61.2357,209.302,65.6531,355.953,65.6531,134.356,61.2357,345.001,109.237,355.953,109.237,100.788,61.2357,168.555,279.742,355.953,279.742,365.054,61.2357,168.555,65.6531
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.690000_0.300000_200_500_.txt,233.742,462.574,222.837,187.473,327.138,181.203,184.195,462.574,122.723,327.084,327.138,237.792,327.138,462.574,247.443,491.118,327.138,366.942,190.602,462.574,98.5773,447.262,327.138,237.792,220.456
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.690000_0.450000_1000_100_.txt,201.182,227.206,201.182,227.206,59.8493,221.828,22.1613,227.206,59.8493,0.0,59.8493,126.973,22.1613,227.206,149.135,22.1613,59.8493,227.206,22.1613,227.206,149.135,311.304,59.8493,227.206,76.497
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.690000_0.450000_1000_500_.txt,0.0,240.06,0.0,240.06,263.955,516.282,0.0,240.06,0.0,0.0,263.955,516.282,0.0,240.06,0.0,0.0,263.955,516.282,516.282,240.06,0.0,0.0,263.955,516.282,240.06
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.690000_0.450000_200_100_.txt,79.1513,63.4719,79.1513,92.4853,61.9484,130.624,3.01383,63.4719,3.01383,61.9484,61.9484,126.844,31.7487,63.4719,31.7487,61.9484,61.9484,126.844,31.5979,63.4719,31.5979,64.3483,61.9484,126.844,31.5979
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.690000_0.450000_200_500_.txt,5.04581,4.57013,4.92185,38.866,4.43882,22.9023,10.4636,4.57013,10.4636,28.0112,4.43882,10.7089,27.9308,4.57013,16.9306,5.51872,4.43882,4.6526,5.05648,4.57013,5.05648,1.81412,4.43882,4.6526,5.05648
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.690000_0.690000_1000_100_.txt,101.431,0.0,101.431,0.0,0.0,5.62179,7.35131,0.0,7.35131,16.8654,0.0,16.8654,16.3454,0.0,16.3454,16.8654,0.0,16.8654,91.021,0.0,0.0,91.021,0.0,16.8654,16.8654
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.690000_0.690000_1000_500_.txt,665.742,645.056,460.319,799.157,707.113,645.056,645.056,645.056,645.056,645.056,707.113,645.056,645.056,645.056,398.978,707.113,707.113,645.056,398.978,645.056,336.921,707.113,707.113,645.056,645.056
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.690000_0.690000_200_100_.txt,15.2187,0.0,8.71497,49.5462,0.0,51.7969,101.986,0.0,0.0,30.9276,0.0,55.3092,16.9945,0.0,5.60007,50.0408,0.0,55.3092,30.9276,0.0,19.5112,55.3092,0.0,55.3092,30.9276
../../dataset_directory_big/35_25/2349008_35_25_0.300000_0.690000_0.690000_200_500_.txt,21.121,0.0,21.121,0.0,23.6123,7.59004,22.7701,0.0,0.0,65.267,23.6123,0.0,0.0,0.0,0.0,0.0,23.6123,0.0,22.7701,0.0,0.0,0.0,23.6123,0.0,0.0
../../dataset_directory_big/35_25/2349008_35_25_0.450000_0.300000_0.300000_1000_100_.txt,527.1,119.264,522.187,272.272,311.28,332.933,318.929,119.264,531.507,181.388,311.28,259.595,488.356,119.264,432.598,224.373,311.28,481.087,341.976,119.264,432.45,362.924,311.28,462.068,262.778
../../dataset_directory_big/35_25/2349008_35_25_0.450000_0.300000_0.300000_1000_500_.txt,1032.24,263.66,925.012,940.249,213.823,737.287,312.411,263.66,701.206,716.504,213.823,911.709,831.341,263.66,124.755,1018.52,213.823,775.289,719.055,263.66,710.717,744.968,213.823,775.289,271.152
../../dataset_directory_big/35_25/2349008_35_25_0.450000_0.300000_0.300000_200_100_.txt,154.277,205.26,182.152,143.279,170.323,170.557,87.3258,205.26,91.5572,201.861,170.323,98.3013,119.73,205.26,75.8862,42.191,170.323,141.053,77.5069,205.26,52.6149,179.134,170.323,161.549,112.388
../../dataset_directory_big/35_25/2349008_35_25_0.450000_0.300000_0.300000_200_500_.txt,865.486,583.56,677.931,867.691,560.016,841.609,624.553,594.285,388.93,691.213,560.016,756.321,706.926,594.285,915.162,728.358,560.016,284.317,571.197,594.285,554.727,877.003,560.016,763.987,354.631
../../dataset_directory_big/35_25/2349008_35_25_0.450000_0.300000_0.450000_1000_100_.txt,337.859,568.795,281.298,313.406,312.626,326.454,185.107,568.795,353.672,415.004,312.626,455.889,118.361,568.795,115.729,268.167,312.626,455.553,238.253,568.795,42.8699,19.3901,312.626,410.152,157.997
../../dataset_directory_big/35_25/2349008_35_25_0.450000_0.300000_0.450000_1000_500_.txt,531.39,285.917,205.881,460.678,13.9757,154.908,243.861,285.917,183.223,237.947,13.9757,8.57741,216.607,285.917,39.8221,431.758,13.9757,0.0,229.853,285.917,210.041,811.116,13.9757,42.4282,189.718
../../dataset_directory_big/35_25/2349008_35_25_0.450000_0.300000_0.450000_200_100_.txt,120.67,97.0577,164.968,56.4789,3.26245,83.1469,166.881,97.0577,34.4055,111.118,3.26245,5.25394,35.2594,97.0577,38.5551,82.1485,3.26245,49.2225,121.553,97.0577,81.8531,88.7161,3.26245,79.9313,106.398
../../dataset_directory_big/35_25/2349008_35_25_0.450000_0.300000_0.450000_200_500_.txt,383.538,316.88,543.465,367.921,539.018,183.472,407.034,316.88,334.593,394.403,539.018,136.817,308.531,316.88,298.758,434.374,539.018,196.115,317.502,316.88,369.887,483.207,539.018,196.115,257.689
../../dataset_directory_big/35_25/2349008_35_25_0.450000_0.300000_0.690000_1000_100_.txt,224.401,64.3666,154.907,176.667,55.5798,220.222,64.3666,64.3666,123.843,125.652,55.5798,176.667,30.2842,64.3666,59.378,113.422,55.5798,138.717,30.2842,64.3666,175.161,64.679,55.5798,138.717,30.2842
../../dataset_directory_big/35_25/2349008_35_25_0.450000_0.300000_0.690000_1000_500_.txt,211.123,24.0637,145.293,7.62692,8.36554,119.078,37.6349,24.0637,11.4593,383.099,8.36554,151.767,274.71,24.0637,130.137,31.5986,8.36554,124.13,314.018,24.0637,98.2833,116.513,8.36554,290.34,132.276
../../dataset_directory_big/35_25/2349008_35_25_0.450000_0.300000_0.690000_200_100_.txt,55.3642,32.9164,44.4925,61.2242,137.492,65.7675,59.5497,32.9164,29.9074,119.017,137.492,64.9453,112.999,32.9164,173.015,33.0307,137.492,58.4693,25.8192,32.9164,53.4598,2.49247,137.492,47.7639,26.0309
../../dataset_directory_big/35_25/2349008_35_25_0.450000_0.300000_0.690000_200_500_.txt,331.905,288.358,315.318,256.346,480.694,496.187,200.247,288.358,367.224,409.934,480.694,501.543,431.92,288.358,389.475,273.587,480.694,752.368,250.971,288.358,414.191,472.44,480.694,564.165,400.727
../../dataset_directory_big/35_25/2349008_35_25_0.450000_0.450000_0.300000_1000_100_.txt,279.292,128.432,324.132,197.027,219.467,333.554,110.738,128.432,111.806,190.363,219.467,321.151,177.576,128.432,139.496,140.839,219.467,371.648,257.128,128.432,259.23,187.762,219.467,371.648,219.467
../../dataset_directory_big/35_25/2349008_35_25_0.450000_0.450000_0.300000_1000_500_.txt,696.287,1650.1,706.355,1037.25,1133.7,1475.63,596.143,1650.1,485.506,446.648,1133.7,1488.71,785.477,1650.1,1013.31,519.852,1133.7,1469.09,1393.29,1650.1,1253.78,906.481,1133.7,1469.09,1133.7
../../dataset_directory_big/35_25/2349008_35_25_0.450000_0.450000_0.300000_200_100_.txt,189.782,195.232,225.619,214.649,245.194,199.106,143.002,195.232,230.15,276.165,245.194,165.676,221.428,195.232,305.656,273.214,245.194,224.821,247.304,195.232,220.55,309.679,245.194,224.821,315.729
